,rank,name,matches,wins,draws,losses,goals,difference,points
0,1,FC Bayern München,22,17,4,1,65:19,+46,55
1,2,Bayer 04 Leverkusen,22,13,8,1,49:27,+22,47
2,3,Eintracht Frankfurt,22,12,6,4,49:29,+20,42
3,4,RB Leipzig,22,10,7,5,36:29,+7,37
4,5,SC Freiburg,22,11,3,8,29:36,-7,36
5,6,1. FSV Mainz 05,22,10,5,7,35:24,+11,35
6,7,VfB Stuttgart,22,10,5,7,40:33,+7,35
7,8,Borussia Mönchengladbach,22,10,4,8,35:32,+3,34
8,9,VfL Wolfsburg,22,9,6,7,45:36,+9,33
9,10,SV Werder Bremen,22,8,6,8,35:42,-7,30
10,11,Borussia Dortmund,22,8,5,9,37:38,-1,29
11,12,FC Augsburg,22,7,7,8,24:35,-11,28
12,13,1. FC Union Berlin,22,6,6,10,21:29,-8,24
13,14,FC St. Pauli,22,6,3,13,18:25,-7,21
14,15,TSG Hoffenheim,22,5,6,11,29:45,-16,21
15,16,1. FC Heidenheim 1846,22,4,2,16,25:45,-20,14
16,17,VfL Bochum 1848,22,3,5,14,21:46,-25,14
17,18,Holstein Kiel,22,3,4,15,34:57,-23,13
